"repository","period","indicator","evidence"
"The-Art-of-Hacking/h4cker","post","D1","sha=e4db7367a981679f1b0aaef759562bb35b5b9f4f; file=ai/ai-security/ai_security_tools.md; text=[jailbreak-evaluation]( ) ## Prompt Firewall and Redaction _Products that intercept prompts and responses and apply security or privacy rules to them. We've blended two categories here because some prompt firewalls just redact private data (and then reidentify in the response) while others focus on identifying and blocking attacks like injection attacks or stopping data leaks. Many of the products in this category do all of the above, which is why they've been combined._ - [Cisco AI Defense]( ) - Model Evaluation, monitoring, guardrails, inventory, AI asset discovery, and more. - [Robust Inte"
"ls1intum/Artemis","post","D1","sha=bdf6352b6bf8d7dd13533570de148b620a207e95; file=SECURITY.md; text=### Data Protection, Privacy, and Data Minimization Artemis follows strict data minimization and data economy principles : - Authentication credentials are not stored unless strictly required - Personal data access is restricted based on role and course context - Privileged access to personal or assessment-related data is explicitly controlled"
"ls1intum/Artemis","post","C1","sha=bdf6352b6bf8d7dd13533570de148b620a207e95; file=SECURITY.md; text=### Data Protection, Privacy, and Data Minimization Artemis follows strict data minimization and data economy principles : - Authentication credentials are not stored unless strictly required - Personal data access is restricted based on role and course context - Privileged access to personal or assessment-related data is explicitly controlled"
"ls1intum/Artemis","post","C7","sha=bdf6352b6bf8d7dd13533570de148b620a207e95; file=SECURITY.md; text=Artemis follows strict data minimization and data economy principles : - Authentication credentials are not stored unless strictly required - Personal data access is restricted based on role and course context - Privileged access to personal or assessment-related data is explicitly controlled Data protection considerations and data minimization are part of the regular review and development process ."
"keras-team/keras","post","D1","sha=ea6968a88ca22418a40b0897e81715718e11fb5c; file=SECURITY.md; text=Verification: Run tooling that identifies potential script injections (e.g. ### Data privacy To protect sensitive data from potential leaks or unauthorized access, it is essential to sandbox the model execution. This means running the model in a secure, isolated environment, which helps mitigate many attack vectors. When training the model with sensitive data, expose your newly-trained model to tests to identify potential sensitive data leaks."
"keras-team/keras","post","C7","sha=ea6968a88ca22418a40b0897e81715718e11fb5c; file=SECURITY.md; text=Verification: Run tooling that identifies potential script injections (e.g. ### Data privacy To protect sensitive data from potential leaks or unauthorized access, it is essential to sandbox the model execution. This means running the model in a secure, isolated environment, which helps mitigate many attack vectors. When training the model with sensitive data, expose your newly-trained model to tests to identify potential sensitive data leaks."
"shap/shap","post","D1","sha=e6dd1f5b36abad4f6e77abeca6218980dd378762; file=docs/user_studies/sickness_scores/templates/consent.html; text=You have been invited to take part in research designed to compare different ways of explaining computer predictions. Aggregate information about your responses will be shared publically, and while we will make no attempt to identify worker identities we cannot guarantee the privacy of your responses."
"shap/shap","post","C6","sha=e6dd1f5b36abad4f6e77abeca6218980dd378762; file=docs/user_studies/sickness_scores/templates/consent.html; text=You have been invited to take part in research designed to compare different ways of explaining computer predictions. Aggregate information about your responses will be shared publically, and while we will make no attempt to identify worker identities we cannot guarantee the privacy of your responses."
"PaddlePaddle/Paddle","post","D1","sha=529fbc7139f44da6c0046c5aa99959d1aa43c9d4; file=SECURITY.md; text=## PaddlePaddle Model Security PaddlePaddle attaches great importance to security and privacy of model. This includes how to prevent the model from outputting wrong decision results under the interference when it is used in security-related and safety-critical scenarios, and how to avoid leaking data and privacy information from the model itself, the model gradient or the model inference results. These tools include adversarial example evaluation test, pseudo-natural environment robustness evaluation test, model reversing evaluation test, member inference evaluation test, sample denoising, adversarial training, privacy enhancement optimizer,"
"PaddlePaddle/Paddle","post","C7","sha=529fbc7139f44da6c0046c5aa99959d1aa43c9d4; file=SECURITY.md; text=## PaddlePaddle Model Security PaddlePaddle attaches great importance to security and privacy of model. This includes how to prevent the model from outputting wrong decision results under the interference when it is used in security-related and safety-critical scenarios, and how to avoid leaking data and privacy information from the model itself, the model gradient or the model inference results. These tools include adversarial example evaluation test, pseudo-natural environment robustness evaluation test, model reversing evaluation test, member inference evaluation test, sample denoising, adversarial training, privacy enhancement optimizer,"
"OpenMined/PySyft","post","D1","sha=793f535032222e9d4b7c8fa7d34104121e8e2471; file=README.md; text=## Docs ## Features - Privacy-preserving — Private data never leaves the data owner's machine; only approved results are shared - Transport-agnostic — Works over Google Drive today, extensible to any file-based transport - Offline-first — Full functionality even when peers are offline; changes sync when connectivity resumes"
"OpenMined/PySyft","post","C6","sha=793f535032222e9d4b7c8fa7d34104121e8e2471; file=README.md; text=## Docs ## Features - Privacy-preserving — Private data never leaves the data owner's machine; only approved results are shared - Transport-agnostic — Works over Google Drive today, extensible to any file-based transport - Offline-first — Full functionality even when peers are offline; changes sync when connectivity resumes"
"OpenMined/PySyft","post","C7","sha=793f535032222e9d4b7c8fa7d34104121e8e2471; file=README.md; text=## Docs ## Features - Privacy-preserving — Private data never leaves the data owner's machine; only approved results are shared - Transport-agnostic — Works over Google Drive today, extensible to any file-based transport - Offline-first — Full functionality even when peers are offline; changes sync when connectivity resumes"
"szad670401/HyperLPR","post","D1","sha=9307450f7b7915be18f23a539ec05b41fe6629f4; file=README.md; text=A：Please compile or download the Android shared library from the release and copy it to Prj-Android for testing。 Q：Source of training data for license plates？ A：Since the license plate data used for training involves legal privacy and other issues, it cannot be provided in this project. Q：Provision of training code？ A：The resources provide the old training code, and the training methods for HyperLPR3 will be sorted out and presented later。"
"szad670401/HyperLPR","post","C1","sha=9307450f7b7915be18f23a539ec05b41fe6629f4; file=README.md; text=A：Please compile or download the Android shared library from the release and copy it to Prj-Android for testing。 Q：Source of training data for license plates？ A：Since the license plate data used for training involves legal privacy and other issues, it cannot be provided in this project. Q：Provision of training code？ A：The resources provide the old training code, and the training methods for HyperLPR3 will be sorted out and presented later。"
"szad670401/HyperLPR","post","C2","sha=9307450f7b7915be18f23a539ec05b41fe6629f4; file=README.md; text=A：Please compile or download the Android shared library from the release and copy it to Prj-Android for testing。 Q：Source of training data for license plates？ A：Since the license plate data used for training involves legal privacy and other issues, it cannot be provided in this project. Q：Provision of training code？ A：The resources provide the old training code, and the training methods for HyperLPR3 will be sorted out and presented later。"
"tf-encrypted/tf-encrypted","post","D1","sha=b2d89f05ac39f523cf1dd120c35af8c34ef2eaee; file=README.md; text=TF Encrypted is a framework for encrypted machine learning in TensorFlow. It looks and feels like TensorFlow, taking advantage of the ease-of-use of the Keras API while enabling training and prediction over encrypted data via secure multi-party computation and homomorphic encryption. TF Encrypted aims to make privacy-preserving machine learning readily available, without requiring expertise in cryptography, distributed systems, or high performance computing."
"tf-encrypted/tf-encrypted","post","C7","sha=b2d89f05ac39f523cf1dd120c35af8c34ef2eaee; file=README.md; text=TF Encrypted is a framework for encrypted machine learning in TensorFlow. It looks and feels like TensorFlow, taking advantage of the ease-of-use of the Keras API while enabling training and prediction over encrypted data via secure multi-party computation and homomorphic encryption. TF Encrypted aims to make privacy-preserving machine learning readily available, without requiring expertise in cryptography, distributed systems, or high performance computing."
"netdata/netdata","post","D1","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-agent-security.md; text=Raw data remains local and is never transmitted. ## User Data Protection Netdata Agent safeguards your data at every stage. | Aspect | Protection Mechanism | |:------------------|:--------------------------------------------------------------------------------------|"
"netdata/netdata","post","C1","sha=f4ff3823ba24ff59f42535d673214ad22695d82b; file=docs/security-and-privacy-design/netdata-cloud-security.md; text=|:----------------|:----------------------------------------------------| | Retention | Deleted content kept 90 days | | Self-Service | Modify/delete personal data via Cloud UI | | Manual Requests | Written deletion requests processed under data laws | :::tip"
